Nom_Ville;Latitude;Longitude;Asso;Asso_Desc;Congres;Siret
Strasbourg;48.584;7.750;AFA;Amicale des Faluchards Alsaciens;Nom_du_congres;
Brest;48.390;-4.486;AFB;Description_Acronyme;Nom_du_congres;
Grenoble;45.187;5.735;AFG;Association Falucharde Grenobloise;L'AFG;
Aix-en-Provence;43.529;5.447;AIEA;Description_Acronyme;Nom_du_congres;
Paris;48.853;2.348;ALF;Association Lutècienne Falucharde;WEGA;
Limoges;45.835;1.264;ALLFA;Description_Acronyme;Nom_du_congres;
Lille;50.636;3.063;ARE;Association Rabelaisienne Etudiante;PG (Pingouine);
Montpellier;43.611;3.876;AURJIE;Association Universitaire Des Rabelaisiens Jouissant Indépendament Des Études;L'AURJIE;
Valenciennes;50.357;3.523;AVaCHE;Association Valenciennoise de la Culture de l'Histoire Estudiantine;WEV (Weeekend Valenciennois);
Bordeaux;44.841;-0.580;BAF;Description_Acronyme;Les orgies;
Le Havre;49.493;0.107;CHEH;Comité Historique des Etudiants Havrais;Nom_du_congres;
Avignon;48.390;-4.486;FALOPE;Description_Acronyme;Nom_du_congres;
Lyon;45.757;4.832;FALUS;Description_Acronyme;WEFAL;
Nîmes;43.837;4.360;FAUNE;Description_Acronyme;Nom_du_congres;
Toulouse;43.60;1.44;FETT;Faluche et Traditions Toulousaine;Acte X;
Metz;49.119;6.176;FLEM;Description_Acronyme;WEMS (Weekend Messins?);
Albi;43.927;2.147;FLIRT;Description_Acronyme;Nom_du_congres;
Troyes;48.297;4.074;FLUTES;Description_Acronyme;WET (Weekend Troyen);
Orléans;47.902;1.908;FOUF;Fraternité Orléannaise De L'Union Des Faluchards;La FOUF;9,09E+13
Nancy;48.693;6.183;GNARF;Description_Acronyme;Chambray?;
Belfort;47.637;6.862;La Jungle;Description_Acronyme;Nom_du_congres;
Tours;47.390;0.688;La Rabelaisienne;Description_Acronyme;La Rabelaisienne et le Roots;
Bayonne;43.494;-1.473;Nom_Asso_Falucharde;Description_Acronyme;La Pauyonnie;
Dijon;47.321;5.041;FABLE;Description_Acronyme;WEB;
Marseille;43.296;5.369;Nom_Asso_Falucharde;Description_Acronyme;WESH;
Nantes;47.218;-1.554;Nom_Asso_Falucharde;Description_Acronyme;Nom_du_congres;
Nice;43.700;7.268;Nom_Asso_Falucharde;Description_Acronyme;Nom_du_congres;
Rennes;48.111; -1.680;Nom_Asso_Falucharde;Description_Acronyme;Nom_du_congres;
Rouen;49.440;1.093;Nom_Asso_Falucharde;Description_Acronyme;La Pommelaise ? La Pommo ?;
Toulon;43.125;5.930;Nom_Asso_Falucharde;Description_Acronyme;Nom_du_congres;
Pau;43.295;-0.368;PAM;Description_Acronyme;La Pauyonnie;
Amiens;;;;;;
Angers;;;;;;
Aix En Provence;;;;;;
Besançon;;;;;;
Bourg-en-bresse;;;;;;
Bourges/Chateauroux;;;;;;
Caen;;;;;;
Cannes Antibes;;;;;;
Clermont;;;;;;
Créteil;;;;;;
Le Mans;;;;;;
La Rochelle;;;;;;
Pays-de-savoie;;;;;;
Perpignan;;;;;;
Poitiers;;;;;;
Saint-Étienne;;;;;;
Valence;;;;;;
Vannes;;;;;;
Vichy;;;;;;
